"Plot Title: DO_2"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
42,07/19/19 12:15:00 AM,4.66,6.78,,,
43,07/19/19 12:30:00 AM,4.63,6.74,,,
44,07/19/19 12:45:00 AM,4.61,6.70,,,
45,07/19/19 01:00:00 AM,4.60,6.66,,,
46,07/19/19 01:15:00 AM,4.59,6.60,,,
47,07/19/19 01:30:00 AM,4.59,6.54,,,
48,07/19/19 01:45:00 AM,4.59,6.50,,,
49,07/19/19 02:00:00 AM,4.59,6.44,,,
50,07/19/19 02:15:00 AM,4.57,6.40,,,
51,07/19/19 02:30:00 AM,4.55,6.36,,,
52,07/19/19 02:45:00 AM,4.53,6.32,,,
53,07/19/19 03:00:00 AM,4.51,6.28,,,
54,07/19/19 03:15:00 AM,4.48,6.24,,,
55,07/19/19 03:30:00 AM,4.47,6.20,,,
56,07/19/19 03:45:00 AM,4.46,6.16,,,
57,07/19/19 04:00:00 AM,4.44,6.10,,,
58,07/19/19 04:15:00 AM,4.43,6.04,,,
59,07/19/19 04:30:00 AM,4.43,5.92,,,
60,07/19/19 04:45:00 AM,4.44,5.72,,,
61,07/19/19 05:00:00 AM,4.44,5.54,,,
62,07/19/19 05:15:00 AM,4.44,5.38,,,
63,07/19/19 05:30:00 AM,4.43,5.30,,,
64,07/19/19 05:45:00 AM,4.45,5.14,,,
65,07/19/19 06:00:00 AM,4.45,5.08,,,
66,07/19/19 06:15:00 AM,4.45,5.04,,,
67,07/19/19 06:30:00 AM,4.44,5.04,,,
68,07/19/19 06:45:00 AM,4.44,5.04,,,
69,07/19/19 07:00:00 AM,4.46,5.06,,,
70,07/19/19 07:15:00 AM,4.49,5.08,,,
71,07/19/19 07:30:00 AM,4.55,5.10,,,
72,07/19/19 07:45:00 AM,4.61,5.14,,,
73,07/19/19 08:00:00 AM,4.71,5.18,,,
74,07/19/19 08:15:00 AM,4.81,5.24,,,
75,07/19/19 08:30:00 AM,4.91,5.30,,,
76,07/19/19 08:45:00 AM,5.00,5.36,,,
77,07/19/19 09:00:00 AM,5.10,5.44,,,
78,07/19/19 09:15:00 AM,5.23,5.58,,,
79,07/19/19 09:30:00 AM,5.35,5.82,,,
80,07/19/19 09:45:00 AM,5.48,6.08,,,
81,07/19/19 10:00:00 AM,5.58,6.36,,,
82,07/19/19 10:15:00 AM,5.67,6.54,,,
83,07/19/19 10:30:00 AM,5.75,6.72,,,
84,07/19/19 10:45:00 AM,5.82,6.82,,,
85,07/19/19 11:00:00 AM,5.89,6.94,,,
86,07/19/19 11:15:00 AM,5.98,7.18,,,
87,07/19/19 11:30:00 AM,6.04,7.40,,,
88,07/19/19 11:45:00 AM,6.07,7.52,,,
89,07/19/19 12:00:00 PM,6.09,7.52,,,
90,07/19/19 12:15:00 PM,6.23,7.94,,,
91,07/19/19 12:30:00 PM,6.25,8.36,,,
92,07/19/19 12:45:00 PM,6.28,8.56,,,
93,07/19/19 01:00:00 PM,6.34,8.80,,,
94,07/19/19 01:15:00 PM,6.35,9.06,,,
95,07/19/19 01:30:00 PM,6.38,9.32,,,
96,07/19/19 01:45:00 PM,6.40,9.44,,,
97,07/19/19 02:00:00 PM,6.41,9.48,,,
98,07/19/19 02:15:00 PM,6.42,9.70,,,
99,07/19/19 02:18:08 PM,,,Logged,,
100,07/19/19 02:18:15 PM,,,,Logged,Logged
