"","Date","Time","ms","LEVEL","TEMPERATURE"
"1","6/26/2019","11:00:00 am",0,0.1559,19.973
"2","6/26/2019","11:05:00 am",0,0.1561,19.974
"3","6/26/2019","11:10:00 am",0,0.1565,19.981
"4","6/26/2019","11:15:00 am",0,0.1569,19.989
"5","6/26/2019","11:20:00 am",0,0.1572,19.998
"6","6/26/2019","11:25:00 am",0,0.1582,20.031
"7","6/26/2019","11:30:00 am",0,0.1593,20.059
"8","6/26/2019","11:35:00 am",0,0.1606,20.094
"9","6/26/2019","11:40:00 am",0,0.1619,20.117
"10","6/26/2019","11:45:00 am",0,0.1627,20.15
"11","6/26/2019","11:50:00 am",0,0.1638,20.178
"12","6/26/2019","11:55:00 am",0,0.1652,20.214
"13","6/26/2019","12:00:00 pm",0,0.1652,20.237
"14","6/26/2019","12:05:00 pm",0,0.1654,20.255
"15","6/26/2019","12:10:00 pm",0,0.1662,20.282
"16","6/26/2019","12:15:00 pm",0,0.1672,20.316
"17","6/26/2019","12:20:00 pm",0,0.167,20.346
"18","6/26/2019","12:25:00 pm",0,0.166,20.381
"19","6/26/2019","12:30:00 pm",0,0.1656,20.394
"20","6/26/2019","12:35:00 pm",0,0.1651,20.411
"21","6/26/2019","12:40:00 pm",0,0.1648,20.449
"22","6/26/2019","12:45:00 pm",0,0.1645,20.467
"23","6/26/2019","12:50:00 pm",0,0.1647,20.497
"24","6/26/2019","12:55:00 pm",0,0.1657,20.517
"25","6/26/2019","01:00:00 pm",0,0.1651,20.547
"26","6/26/2019","01:05:00 pm",0,-0.0149,21.938
"27","6/26/2019","01:10:00 pm",0,-0.0106,23.267
"28","6/26/2019","01:15:00 pm",0,-0.0142,23.834
"29","6/26/2019","01:20:00 pm",0,-0.0162,24.633
"30","6/26/2019","01:25:00 pm",0,-0.0163,25.595
"31","6/26/2019","01:30:00 pm",0,-0.0163,26.216
"32","6/26/2019","01:35:00 pm",0,-0.0166,26.622
"33","6/26/2019","01:40:00 pm",0,-0.0177,27.015
"34","6/26/2019","01:45:00 pm",0,-0.018,27.417
"35","6/26/2019","01:50:00 pm",0,-0.0182,27.789
"36","6/26/2019","01:55:00 pm",0,-0.0186,28.215
"37","6/26/2019","02:00:00 pm",0,-0.0169,27.619
"38","6/26/2019","02:05:00 pm",0,-0.0158,26.812
"39","6/26/2019","02:10:00 pm",0,-0.0149,26.181
"40","6/26/2019","02:15:00 pm",0,-0.0147,25.671
"41","6/26/2019","02:20:00 pm",0,-0.0143,25.247
"42","6/26/2019","02:25:00 pm",0,-0.0146,24.878
"43","6/26/2019","02:30:00 pm",0,-0.0138,24.569
"44","6/26/2019","02:35:00 pm",0,-0.0134,24.315
"45","6/26/2019","02:40:00 pm",0,-0.0136,23.82
"46","6/26/2019","02:45:00 pm",0,-0.0128,23.287
