DateTime,Discharge_m3s,Level_m,DO_mgL,WaterTemp_c,AirPres_kPa,AirTemp_c
7/18/2019 14:00,0.0098702,0.203311774,6.51,10.42222222,62.5292,5.948
7/18/2019 14:15,0.009856503,0.201404897,6.43,10.43888889,62.5308,5.951
7/18/2019 14:30,0.009369374,0.20062991,6.44,10.53888889,62.5288,5.953
7/18/2019 14:45,0.009408487,0.200742079,6.41,10.53888889,62.5293,5.955
7/18/2019 15:00,0.00952681,0.203648281,6.43,10.56111111,62.541,5.957
7/18/2019 15:15,0.009660025,0.204147944,6.43,10.66111111,62.5434,5.96
7/18/2019 15:30,0.00964662,0.199467429,6.42,10.72222222,62.5394,5.961
7/18/2019 15:45,0.009734086,0.207043949,6.42,10.73888889,62.528,5.963
7/18/2019 16:00,0.009700352,0.203515718,6.41,10.73888889,62.5397,5.963
7/18/2019 16:15,0.009467464,0.203607492,6.37,10.67777778,62.5228,5.963
7/18/2019 16:30,0.00952681,0.205504172,6.35,10.62222222,62.5168,5.966
7/18/2019 16:45,0.009619866,0.2054022,6.33,10.57777778,62.5052,5.968
7/18/2019 17:00,0.009441206,0.202373631,6.25,10.4,62.508,5.968
7/18/2019 17:15,0.009382393,0.19910033,6.17,10.16111111,62.4931,5.968
7/18/2019 17:30,0.009323947,0.196795763,6.12,9.938888889,62.488,5.967
7/18/2019 17:45,0.009298088,0.195674071,6.05,9.761111111,62.4729,5.967
7/18/2019 18:00,0.00927874,0.199314471,5.94,9.561111111,62.4634,5.967
7/18/2019 18:15,0.009227344,0.197856272,5.84,9.338888889,62.4508,5.966
7/18/2019 18:30,0.009163499,0.188933722,5.72,9.161111111,62.4327,5.965
7/18/2019 18:45,0.009157139,0.199844726,5.62,8.961111111,62.423,7.882
7/18/2019 19:00,0.009150783,0.198162188,5.52,8.8,62.4057,6.518
7/18/2019 19:15,0.009093779,0.196948721,5.44,8.638888889,62.4005,6.206
7/18/2019 19:30,0.00911907,0.19749937,5.36,8.522222222,62.3908,6.094
7/18/2019 19:45,0.009049689,0.199814134,5.29,8.4,62.365,6.046
7/18/2019 20:00,0.009030858,0.200660502,5.22,8.277777778,62.3717,6.021
7/18/2019 20:15,0.009043407,0.200854248,5.15,8.177777778,62.3824,6.006
7/18/2019 20:30,0.009018326,0.199181908,5.1,8.1,62.3886,5.997
7/18/2019 20:45,0.008974601,0.197254637,5.04,8,62.3973,5.99
7/18/2019 21:00,0.008943499,0.19815199,4.99,7.9,62.4114,5.984
