"","DATE","PosixCT","X12CO2","Delta_Raw_iCO2","Delta_30s_iCO2","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s"
"60301","2019-07-30",2019-07-30 15:00:01,511.41856955,-11.726124757,-11.847619607,2.1986759907,2.2319067654,-49.588945612,-52.265687793,-51.670176733,-49.588945612,-50.198134252
"60302","2019-07-30",2019-07-30 15:00:03,511.41856955,-11.726124757,-11.847619607,2.1986759907,2.2319067654,-49.588945612,-52.265687793,-51.670176733,-49.588945612,-50.198134252
"60303","2019-07-30",2019-07-30 15:00:03,512.46459373,-11.726124757,-11.847619607,2.1986759907,2.2319067654,-49.588945612,-52.265687793,-51.670176733,-49.588945612,-50.198134252
"60304","2019-07-30",2019-07-30 15:00:04,512.46459373,-10.092051853,-11.670136843,2.1986759907,2.2319067654,-49.588945612,-52.265687793,-51.670176733,-49.588945612,-50.198134252
"60305","2019-07-30",2019-07-30 15:00:05,512.46459373,-10.092051853,-11.670136843,2.1864583905,2.2319806026,-43.336536097,-42.718059388,-51.141689804,-43.336536097,-49.754116161
"60306","2019-07-30",2019-07-30 15:00:06,512.46459373,-10.092051853,-11.670136843,2.1864583905,2.2319806026,-43.336536097,-42.718059388,-51.141689804,-43.336536097,-49.754116161
"60307","2019-07-30",2019-07-30 15:00:07,514.06964555,-10.092051853,-11.670136843,2.1864583905,2.2319806026,-43.336536097,-42.718059388,-51.141689804,-43.336536097,-49.754116161
"60308","2019-07-30",2019-07-30 15:00:07,514.06964555,-9.9974231609,-11.658121213,2.1864583905,2.2319806026,-43.336536097,-42.718059388,-51.141689804,-43.336536097,-49.754116161
"60309","2019-07-30",2019-07-30 15:00:08,514.06964555,-9.9974231609,-11.658121213,2.2000262879,2.2308571512,-49.210895459,-53.634502415,-51.481326192,-49.210895459,-49.58911079
"60310","2019-07-30",2019-07-30 15:00:10,514.06964555,-9.9974231609,-11.658121213,2.2000262879,2.2308571512,-49.210895459,-53.634502415,-51.481326192,-49.210895459,-49.58911079
"60311","2019-07-30",2019-07-30 15:00:10,515.13319791,-9.9974231609,-11.658121213,2.2000262879,2.2308571512,-49.210895459,-53.634502415,-51.481326192,-49.210895459,-49.58911079
"60312","2019-07-30",2019-07-30 15:00:11,515.13319791,-10.916643595,-11.483863171,2.2000262879,2.2308571512,-49.210895459,-53.634502415,-51.481326192,-49.210895459,-49.58911079
