"","DATE","PosixCT","X12CO2","Delta_Raw_iCO2","Delta_30s_iCO2","HR_12CH4","HP_12CH4","Delta_iCH4_Raw","HR_Delta_iCH4_Raw","HR_Delta_iCH4_30s","HP_Delta_iCH4_Raw","HP_Delta_iCH4_30s","Sample"
"59168","2019-08-09",2019-08-09 14:41:07,400.34269349,-17.563812685,-19.406045601,1.8716775692,2.0051731447,-52.454783417,-64.602179943,-52.893308142,-52.454783417,-48.182385446,"ecu3"
"59169","2019-08-09",2019-08-09 14:41:08,400.34269349,-17.563812685,-19.406045601,1.8674592427,2.0037399698,-48.774759457,-59.00104789,-54.217612475,-48.774759457,-48.672891553,"ecu3"
"59170","2019-08-09",2019-08-09 14:41:09,400.34269349,-17.563812685,-19.406045601,1.8674592427,2.0037399698,-48.774759457,-59.00104789,-54.217612475,-48.774759457,-48.672891553,"ecu3"
"59171","2019-08-09",2019-08-09 14:41:10,399.37810334,-17.563812685,-19.406045601,1.8674592427,2.0037399698,-48.774759457,-59.00104789,-54.217612475,-48.774759457,-48.672891553,"ecu3"
"59172","2019-08-09",2019-08-09 14:41:10,399.37810334,-20.13044931,-19.846211084,1.8674592427,2.0037399698,-48.774759457,-59.00104789,-54.217612475,-48.774759457,-48.672891553,"ecu3"
"59173","2019-08-09",2019-08-09 14:41:12,399.37810334,-20.13044931,-19.846211084,1.8531395458,2.0028846238,-50.433466618,-54.975768747,-55.018814883,-50.433466618,-49.464978491,"ecu3"
"59174","2019-08-09",2019-08-09 14:41:13,399.37810334,-20.13044931,-19.846211084,1.8531395458,2.0028846238,-50.433466618,-54.975768747,-55.018814883,-50.433466618,-49.464978491,"ecu3"
"59175","2019-08-09",2019-08-09 14:41:13,397.97837342,-20.13044931,-19.846211084,1.8531395458,2.0028846238,-50.433466618,-54.975768747,-55.018814883,-50.433466618,-49.464978491,"ecu3"
"59176","2019-08-09",2019-08-09 14:41:14,397.97837342,-21.122780848,-19.842478255,1.8531395458,2.0028846238,-50.433466618,-54.975768747,-55.018814883,-50.433466618,-49.464978491,"ecu3"
"59177","2019-08-09",2019-08-09 14:41:15,397.97837342,-21.122780848,-19.842478255,1.8447324122,2.0021326183,-48.700085279,-50.112631659,-54.881722331,-48.700085279,-49.764004994,"ecu3"
"59178","2019-08-09",2019-08-09 14:41:16,397.97837342,-21.122780848,-19.842478255,1.8447324122,2.0021326183,-48.700085279,-50.112631659,-54.881722331,-48.700085279,-49.764004994,"ecu3"
