Date,Time,Volts
6/18/2019,10:45:54 AM,0.3585
6/18/2019,10:45:59 AM,0.3655
6/18/2019,10:46:04 AM,0.371
6/18/2019,10:46:09 AM,0.3765
6/18/2019,10:46:14 AM,0.3825
6/18/2019,10:46:19 AM,0.389
6/18/2019,10:46:24 AM,0.3945
6/18/2019,10:46:29 AM,0.3995
6/18/2019,10:46:34 AM,0.4045
6/18/2019,10:46:39 AM,0.409
6/18/2019,10:46:44 AM,0.4135
6/18/2019,10:46:49 AM,0.417
6/18/2019,10:46:54 AM,0.4205
6/18/2019,10:46:59 AM,0.424
6/18/2019,10:47:04 AM,0.428
6/18/2019,10:47:09 AM,0.4325
6/18/2019,10:47:14 AM,0.4375
6/18/2019,10:47:19 AM,0.4425
6/18/2019,10:47:24 AM,0.447
6/18/2019,10:47:29 AM,0.45
6/18/2019,10:47:34 AM,0.453
6/18/2019,10:47:39 AM,0.457
6/18/2019,10:47:44 AM,0.4615
6/18/2019,10:47:49 AM,0.466
6/18/2019,10:47:54 AM,0.47
6/18/2019,10:47:59 AM,0.475
6/18/2019,10:48:04 AM,0.4795
6/18/2019,10:48:09 AM,0.484
6/18/2019,10:48:14 AM,0.488
6/18/2019,10:48:19 AM,0.493
6/18/2019,10:48:24 AM,0.4985
6/18/2019,10:48:29 AM,0.504
6/18/2019,10:48:34 AM,0.509
6/18/2019,10:48:39 AM,0.515
6/18/2019,10:48:44 AM,0.5205
6/18/2019,10:48:49 AM,0.5265
6/18/2019,10:48:54 AM,0.5305
6/18/2019,10:48:59 AM,0.5355
6/18/2019,10:49:04 AM,0.54
6/18/2019,10:49:09 AM,0.5455
6/18/2019,10:49:14 AM,0.5505
6/18/2019,10:49:19 AM,0.5555
6/18/2019,10:49:24 AM,0.56
6/18/2019,10:49:29 AM,0.564
6/18/2019,10:49:34 AM,0.567
6/18/2019,10:49:39 AM,0.57
6/18/2019,10:49:44 AM,0.572
6/18/2019,10:49:49 AM,0.5745
6/18/2019,10:49:54 AM,0.5775
6/18/2019,10:49:59 AM,0.5805
6/18/2019,10:50:04 AM,0.583
6/18/2019,10:50:09 AM,0.586
6/18/2019,10:50:14 AM,0.5895
6/18/2019,10:50:19 AM,0.593
6/18/2019,10:50:24 AM,0.5955
6/18/2019,10:50:29 AM,0.5975
6/18/2019,10:50:34 AM,0.599
6/18/2019,10:50:39 AM,0.601
6/18/2019,10:50:44 AM,0.6035
6/18/2019,10:50:49 AM,0.6055
6/18/2019,10:50:54 AM,0.6075
6/18/2019,10:50:59 AM,0.609
6/18/2019,10:51:04 AM,0.6105
6/18/2019,10:51:09 AM,0.611
6/18/2019,10:51:14 AM,0.612
6/18/2019,10:51:19 AM,0.613
6/18/2019,10:51:24 AM,0.6155
6/18/2019,10:51:29 AM,0.6185
6/18/2019,10:51:34 AM,0.622
6/18/2019,10:51:39 AM,0.625
6/18/2019,10:51:44 AM,0.627
6/18/2019,10:51:49 AM,0.628
6/18/2019,10:51:54 AM,0.629
6/18/2019,10:51:59 AM,0.6305
6/18/2019,10:52:04 AM,0.633
6/18/2019,10:52:09 AM,0.635
6/18/2019,10:52:14 AM,0.6365
6/18/2019,10:52:19 AM,0.637
6/18/2019,10:52:24 AM,0.6375
6/18/2019,10:52:29 AM,0.64
6/18/2019,10:52:34 AM,0.6425
6/18/2019,10:52:39 AM,0.6445
6/18/2019,10:52:44 AM,0.645
6/18/2019,10:52:49 AM,0.6465
6/18/2019,10:52:54 AM,0.6495
6/18/2019,10:52:59 AM,0.652
6/18/2019,10:53:04 AM,0.6525
6/18/2019,10:53:09 AM,0.652
6/18/2019,10:53:14 AM,0.6525
6/18/2019,10:53:19 AM,0.653
6/18/2019,10:53:24 AM,0.6545
6/18/2019,10:53:29 AM,0.6555
6/18/2019,10:53:34 AM,0.6575
6/18/2019,10:53:39 AM,0.6585
6/18/2019,10:53:44 AM,0.6595
6/18/2019,10:53:49 AM,0.6595
6/18/2019,10:53:54 AM,0.6605
6/18/2019,10:53:59 AM,0.661
6/18/2019,10:54:04 AM,0.6625
6/18/2019,10:54:09 AM,0.664
6/18/2019,10:54:14 AM,0.6655
6/18/2019,10:54:19 AM,0.667
6/18/2019,10:54:24 AM,0.6685
6/18/2019,10:54:29 AM,0.6705
6/18/2019,10:54:34 AM,0.673
6/18/2019,10:54:39 AM,0.675
6/18/2019,10:54:44 AM,0.6765
6/18/2019,10:54:49 AM,0.678
