Date,Time,ms,LEVEL,TEMPERATURE,Timestamp
7/12/2019,9:12:49 AM,0,0.7893,6.008,7/12/19 09:12:49
7/12/2019,9:27:49 AM,0,0.7905,6.002,7/12/19 09:27:49
7/12/2019,9:42:49 AM,0,0.7915,6.004,7/12/19 09:42:49
7/12/2019,9:57:49 AM,0,0.7931,6.002,7/12/19 09:57:49
7/12/2019,10:12:49 AM,0,0.7937,6.008,7/12/19 10:12:49
7/12/2019,10:27:49 AM,0,0.7935,6.019,7/12/19 10:27:49
7/12/2019,10:42:49 AM,0,0.7944,6.018,7/12/19 10:42:49
7/12/2019,10:57:49 AM,0,0.7929,6.024,7/12/19 10:57:49
7/12/2019,11:12:49 AM,0,0.7938,6.03,7/12/19 11:12:49
7/12/2019,11:27:49 AM,0,0.7934,6.037,7/12/19 11:27:49
7/12/2019,11:42:49 AM,0,0.7925,6.042,7/12/19 11:42:49
7/12/2019,11:57:49 AM,0,0.7933,6.046,7/12/19 11:57:49
7/12/2019,12:12:49 PM,0,0.7918,6.051,7/12/19 12:12:49
7/12/2019,12:27:49 PM,0,0.79,6.06,7/12/19 12:27:49
7/12/2019,12:42:49 PM,0,0.7925,6.068,7/12/19 12:42:49
7/12/2019,12:57:49 PM,0,0.7891,6.075,7/12/19 12:57:49
7/12/2019,1:12:49 PM,0,0.7915,6.078,7/12/19 13:12:49
7/12/2019,1:27:49 PM,0,0.7883,6.083,7/12/19 13:27:49
7/12/2019,1:42:49 PM,0,0.7884,6.088,7/12/19 13:42:49
7/12/2019,1:57:49 PM,0,0.7903,6.091,7/12/19 13:57:49
7/12/2019,2:12:49 PM,0,0.7919,6.096,7/12/19 14:12:49
7/12/2019,2:27:49 PM,0,0.7895,6.102,7/12/19 14:27:49
7/12/2019,2:42:49 PM,0,0.7867,6.106,7/12/19 14:42:49
7/12/2019,2:57:49 PM,0,0.7885,6.11,7/12/19 14:57:49
7/12/2019,3:12:49 PM,0,0.7875,6.114,7/12/19 15:12:49
7/12/2019,3:27:49 PM,0,0.7875,6.117,7/12/19 15:27:49
7/12/2019,3:42:49 PM,0,0.7875,6.12,7/12/19 15:42:49
7/12/2019,3:57:49 PM,0,0.7875,6.125,7/12/19 15:57:49
7/12/2019,4:12:49 PM,0,0.7876,6.128,7/12/19 16:12:49
7/12/2019,4:27:49 PM,0,0.7862,6.131,7/12/19 16:27:49
7/12/2019,4:42:49 PM,0,0.7871,6.136,7/12/19 16:42:49
7/12/2019,4:57:49 PM,0,0.7876,6.138,7/12/19 16:57:49
7/12/2019,5:12:49 PM,0,0.7871,6.141,7/12/19 17:12:49
7/12/2019,5:27:49 PM,0,0.7885,6.144,7/12/19 17:27:49
7/12/2019,5:42:49 PM,0,0.7863,6.146,7/12/19 17:42:49
7/12/2019,5:57:49 PM,0,0.7871,6.149,7/12/19 17:57:49
7/12/2019,6:12:49 PM,0,0.7871,6.152,7/12/19 18:12:49
7/12/2019,6:27:49 PM,0,0.7874,6.153,7/12/19 18:27:49
7/12/2019,6:42:49 PM,0,0.7873,6.157,7/12/19 18:42:49
7/12/2019,6:57:49 PM,0,0.7861,6.159,7/12/19 18:57:49
