,DateTime,LEVEL_m,TEMP_c,Serial,,
1,7/12/2019 12:30,0.183773938,11.169,2020421,,
2,7/12/2019 12:45,0.189963639,11.537,2020421,,
3,7/12/2019 13:00,0.195296774,11.942,2020421,,
4,7/12/2019 13:15,0.191758346,12.033,2020421,,
5,7/12/2019 13:30,0.195388549,12.125,2020421,,
6,7/12/2019 13:45,0.197183256,12.197,2020421,,
7,7/12/2019 14:00,0.200793065,12.486,2020421,,
8,7/12/2019 14:15,0.204035775,12.7,2020421,,
9,7/12/2019 14:30,0.203423943,12.713,2020421,,
10,7/12/2019 14:45,0.205555158,12.776,2020421,,
11,7/12/2019 15:00,0.205167664,12.966,2020421,,
12,7/12/2019 15:15,0.197397398,13.307,2020421,,
13,7/12/2019 15:30,0.195419141,13.2,2020421,,
14,7/12/2019 15:45,0.194113899,13.254,2020421,,
15,7/12/2019 16:00,0.195205,13.09,2020421,,
16,7/12/2019 16:15,0.191044542,12.927,2020421,,
17,7/12/2019 16:30,0.18857682,12.821,2020421,,
18,7/12/2019 16:45,0.187648874,12.672,2020421,,
19,7/12/2019 17:00,0.185894956,12.491,2020421,,
20,7/12/2019 17:15,0.184701884,12.253,2020421,,
21,7/12/2019 17:30,0.183131515,12.119,2020421,,
22,7/12/2019 17:45,0.181714104,11.906,2020421,,
23,7/12/2019 18:00,0.176533926,11.642,2020421,,
24,7/12/2019 18:15,0.172648793,11.398,2020421,,
25,7/12/2019 18:30,0.173658316,11.176,2020421,,
26,7/12/2019 18:45,0.172251102,10.927,2020421,,
27,7/12/2019 19:00,0.171210988,10.725,2020421,,
28,7/12/2019 19:15,0.170884678,10.541,2020421,,
29,7/12/2019 19:30,0.171160002,10.354,2020421,,
30,7/12/2019 19:45,0.171506707,10.201,2020421,,
31,7/12/2019 20:00,0.169416281,10.051,2020421,,
32,7/12/2019 20:15,0.170140282,9.916,2020421,,
33,7/12/2019 20:30,0.16876366,9.797,2020421,,
34,7/12/2019 20:45,0.168712674,9.672,2020421,,
35,7/12/2019 21:00,0.16741763,9.569,2020421,,
36,7/12/2019 21:15,0.167285066,9.455,2020421,,
37,7/12/2019 21:30,0.166234754,9.338,2020421,,
38,7/12/2019 21:45,0.163573285,9.218,2020421,,
39,7/12/2019 22:00,0.165796275,9.126,2020421,,
40,7/12/2019 22:15,0.165082471,9.053,2020421,,
41,7/12/2019 22:30,0.163246975,8.962,2020421,,
42,7/12/2019 22:45,0.164735766,8.872,2020421,,
43,7/12/2019 23:00,0.163512102,8.815,2020421,,
44,7/12/2019 23:15,0.162268044,8.752,2020421,,
45,7/12/2019 23:30,0.164735766,8.688,2020421,,
46,7/12/2019 23:45,0.163807821,8.625,2020421,,
47,7/13/2019 0:00,0.165082471,8.564,2020421,,
48,7/13/2019 0:15,0.165133457,8.524,2020421,,
49,7/13/2019 0:30,0.167193291,8.463,2020421,,
50,7/13/2019 0:45,0.165990022,8.41,2020421,,
51,7/13/2019 1:00,0.168039659,8.357,2020421,,
52,7/13/2019 1:15,0.166948558,8.307,2020421,,
53,7/13/2019 1:30,0.167325855,8.255,2020421,,
54,7/13/2019 1:45,0.167805123,8.196,2020421,,
55,7/13/2019 2:00,0.167030136,8.148,2020421,,
56,7/13/2019 2:15,0.165826866,8.096,2020421,,
57,7/13/2019 2:30,0.164011765,8.057,2020421,,
58,7/13/2019 2:45,0.165021288,8.004,2020421,,
59,7/13/2019 3:00,0.166122585,7.951,2020421,,
60,7/13/2019 3:15,0.169977127,7.87,2020421,,
61,7/13/2019 3:30,0.16843735,7.752,2020421,,
62,7/13/2019 3:45,0.16858011,7.704,2020421,,
63,7/13/2019 4:00,0.167703151,7.649,2020421,,
64,7/13/2019 4:15,0.168977801,7.591,2020421,,
65,7/13/2019 4:30,0.167590982,7.54,2020421,,
66,7/13/2019 4:45,0.16781532,7.493,2020421,,
67,7/13/2019 5:00,0.17302609,7.438,2020421,,
68,7/13/2019 5:15,0.174198768,7.376,2020421,,
69,7/13/2019 5:30,0.172720174,7.28,2020421,,
70,7/13/2019 5:45,0.17404581,7.183,2020421,,
71,7/13/2019 6:00,0.175279671,7.079,2020421,,
72,7/13/2019 6:15,0.175667164,7.048,2020421,,
73,7/13/2019 6:30,0.178043112,7.038,2020421,,
74,7/13/2019 6:45,0.174657642,7.018,2020421,,
75,7/13/2019 7:00,0.178767113,6.987,2020421,,
76,7/13/2019 7:15,0.181816076,6.953,2020421,,
77,7/13/2019 7:30,0.180949314,6.94,2020421,,
78,7/13/2019 7:45,0.180143735,6.933,2020421,,
79,7/13/2019 8:00,0.17914441,6.969,2020421,,
80,7/13/2019 8:15,0.182366725,6.993,2020421,,
81,7/13/2019 8:30,0.185558448,7.045,2020421,,
82,7/13/2019 8:45,0.184977208,7.096,2020421,,
83,7/13/2019 9:00,0.183264078,7.193,2020421,,
84,7/13/2019 9:15,0.185986731,7.307,2020421,,
85,7/13/2019 9:30,0.181816076,7.396,2020421,,
86,7/13/2019 9:45,0.188230115,7.524,2020421,,
87,7/13/2019 10:00,0.184467348,7.685,2020421,,
88,7/13/2019 10:15,0.190463302,7.811,2020421,,
89,7/13/2019 10:30,0.189984033,7.88,2020421,,
90,7/13/2019 10:45,0.191289275,7.981,2020421,,
