"Plot Title: EC 3"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20636126, SEN S/N: 20636126, LBL: Conductivity)","Temp, °C (LGR S/N: 20636126, SEN S/N: 20636126)","Specific Conductance, μS/cm (LGR S/N: 20636126)","Coupler Detached (LGR S/N: 20636126)","Coupler Attached (LGR S/N: 20636126)","Host Connected (LGR S/N: 20636126)","Stopped (LGR S/N: 20636126)","End Of File (LGR S/N: 20636126)"
1,07/11/19 12:45:00 PM,7.0,12.75,9.3,Logged,,,,
2,07/11/19 01:00:00 PM,7.0,12.90,9.3,,,,,
3,07/11/19 01:15:00 PM,7.0,13.36,9.2,,,,,
4,07/11/19 01:30:00 PM,7.0,13.84,9.1,,,,,
5,07/11/19 01:45:00 PM,7.4,14.29,9.5,,,,,
6,07/11/19 02:00:00 PM,7.0,14.65,8.9,,,,,
7,07/11/19 02:15:00 PM,7.0,14.84,8.8,,,,,
8,07/11/19 02:30:00 PM,7.0,14.82,8.8,,,,,
9,07/11/19 02:45:00 PM,7.0,14.74,8.8,,,,,
10,07/11/19 03:00:00 PM,7.0,14.55,8.9,,,,,
11,07/11/19 03:15:00 PM,7.0,14.29,8.9,,,,,
12,07/11/19 03:30:00 PM,7.0,14.00,9.0,,,,,
13,07/11/19 03:45:00 PM,7.0,13.65,9.1,,,,,
14,07/11/19 04:00:00 PM,7.0,13.40,9.2,,,,,
15,07/11/19 04:15:00 PM,7.0,13.19,9.2,,,,,
16,07/11/19 04:30:00 PM,7.0,13.06,9.2,,,,,
17,07/11/19 04:45:00 PM,7.0,12.83,9.3,,,,,
18,07/11/19 05:00:00 PM,7.0,12.70,9.3,,,,,
19,07/11/19 05:15:00 PM,7.0,12.60,9.3,,,,,
20,07/11/19 05:30:00 PM,7.0,12.52,9.4,,,,,
21,07/11/19 05:45:00 PM,7.0,12.38,9.4,,,,,
22,07/11/19 06:00:00 PM,7.0,12.15,9.4,,,,,
23,07/11/19 06:15:00 PM,7.0,11.93,9.5,,,,,
24,07/11/19 06:30:00 PM,7.4,11.70,10.1,,,,,
25,07/11/19 06:45:00 PM,7.0,11.47,9.6,,,,,
26,07/11/19 07:00:00 PM,7.0,11.26,9.7,,,,,
27,07/11/19 07:15:00 PM,7.0,11.07,9.7,,,,,
28,07/11/19 07:30:00 PM,7.0,10.91,9.8,,,,,
29,07/11/19 07:45:00 PM,7.0,10.75,9.8,,,,,
30,07/11/19 08:00:00 PM,7.4,10.64,10.4,,,,,
31,07/11/19 08:15:00 PM,7.4,10.53,10.4,,,,,
32,07/11/19 08:30:00 PM,7.4,10.40,10.5,,,,,
33,07/11/19 08:45:00 PM,7.4,10.29,10.5,,,,,
34,07/11/19 09:00:00 PM,7.4,10.18,10.5,,,,,
35,07/11/19 09:15:00 PM,7.4,10.08,10.5,,,,,
36,07/11/19 09:30:00 PM,7.4,9.97,10.6,,,,,
37,07/11/19 09:45:00 PM,7.4,9.86,10.6,,,,,
38,07/11/19 10:00:00 PM,7.4,9.78,10.6,,,,,
39,07/11/19 10:15:00 PM,7.0,9.70,10.1,,,,,
40,07/11/19 10:30:00 PM,7.4,9.61,10.7,,,,,
41,07/11/19 10:45:00 PM,7.0,9.52,10.1,,,,,
42,07/11/19 11:00:00 PM,7.4,9.42,10.7,,,,,
43,07/11/19 11:15:00 PM,7.4,9.36,10.8,,,,,
44,07/11/19 11:30:00 PM,7.4,9.28,10.8,,,,,
45,07/11/19 11:45:00 PM,7.4,9.24,10.8,,,,,
46,07/12/19 12:00:00 AM,7.4,9.17,10.8,,,,,
47,07/12/19 12:15:00 AM,7.4,9.11,10.8,,,,,
48,07/12/19 12:30:00 AM,7.4,9.04,10.8,,,,,
49,07/12/19 12:45:00 AM,7.4,8.99,10.9,,,,,
50,07/12/19 01:00:00 AM,7.4,8.91,10.9,,,,,
51,07/12/19 01:15:00 AM,7.4,8.85,10.9,,,,,
52,07/12/19 01:30:00 AM,7.4,8.79,10.9,,,,,
53,07/12/19 01:45:00 AM,7.4,8.73,10.9,,,,,
54,07/12/19 02:00:00 AM,7.4,8.67,11.0,,,,,
55,07/12/19 02:15:00 AM,7.4,8.61,11.0,,,,,
56,07/12/19 02:30:00 AM,7.4,8.56,11.0,,,,,
57,07/12/19 02:45:00 AM,7.4,8.52,11.0,,,,,
58,07/12/19 03:00:00 AM,7.4,8.47,11.0,,,,,
59,07/12/19 03:15:00 AM,7.4,8.41,11.0,,,,,
60,07/12/19 03:30:00 AM,7.4,8.37,11.0,,,,,
61,07/12/19 03:45:00 AM,7.4,8.35,11.1,,,,,
62,07/12/19 04:00:00 AM,7.4,8.29,11.1,,,,,
63,07/12/19 04:15:00 AM,7.4,8.24,11.1,,,,,
64,07/12/19 04:30:00 AM,7.4,8.20,11.1,,,,,
65,07/12/19 04:45:00 AM,7.4,8.17,11.1,,,,,
66,07/12/19 05:00:00 AM,7.4,8.11,11.1,,,,,
67,07/12/19 05:15:00 AM,7.4,8.06,11.1,,,,,
68,07/12/19 05:30:00 AM,7.4,7.99,11.2,,,,,
69,07/12/19 05:45:00 AM,7.4,7.92,11.2,,,,,
70,07/12/19 06:00:00 AM,7.4,7.86,11.2,,,,,
71,07/12/19 06:15:00 AM,7.4,7.80,11.2,,,,,
72,07/12/19 06:30:00 AM,7.4,7.75,11.2,,,,,
73,07/12/19 06:45:00 AM,7.4,7.71,11.3,,,,,
74,07/12/19 07:00:00 AM,7.4,7.67,11.3,,,,,
75,07/12/19 07:15:00 AM,7.4,7.64,11.3,,,,,
76,07/12/19 07:30:00 AM,7.4,7.63,11.3,,,,,
77,07/12/19 07:45:00 AM,7.4,7.63,11.3,,,,,
78,07/12/19 08:00:00 AM,7.4,7.66,11.3,,,,,
79,07/12/19 08:15:00 AM,7.1,7.71,10.8,,,,,
80,07/12/19 08:30:00 AM,7.4,7.76,11.2,,,,,
81,07/12/19 08:45:00 AM,7.4,7.87,11.2,,,,,
82,07/12/19 09:00:00 AM,7.4,7.98,11.2,,,,,
83,07/12/19 09:15:00 AM,7.4,8.06,11.1,,,,,
84,07/12/19 09:30:00 AM,7.4,8.17,11.1,,,,,
85,07/12/19 09:45:00 AM,7.4,8.27,11.1,,,,,
86,07/12/19 10:00:00 AM,7.4,8.40,11.0,,,,,
87,07/12/19 10:15:00 AM,7.4,8.56,11.0,,,,,
88,07/12/19 10:30:00 AM,7.4,8.75,10.9,,,,,
89,07/12/19 10:45:00 AM,7.4,9.01,10.9,,,,,
90,07/12/19 11:00:00 AM,7.4,9.29,10.8,,,,,
91,07/12/19 11:15:00 AM,7.4,9.62,10.7,,,,,
92,07/12/19 11:30:00 AM,7.4,9.94,10.6,,,,,
93,07/12/19 11:45:00 AM,7.4,10.20,10.5,,,,,
94,07/12/19 12:00:00 PM,7.4,10.56,10.4,,,,,
95,07/12/19 12:15:00 PM,7.4,10.73,10.4,,,,,
96,07/12/19 12:30:00 PM,7.4,11.03,10.3,,,,,
97,07/12/19 12:45:00 PM,7.4,11.29,10.2,,,,,
98,07/12/19 12:54:59 PM,,,,,Logged,,,
99,07/12/19 12:55:18 PM,,,,,,Logged,,
100,07/12/19 12:55:28 PM,,,,,,,Logged,Logged
