k600,Vms,Qm3s,slope,depth,width,place,data1,data
5.8,0.2,0.084,0.007,0.18,2.3,Wyoming,Hall & Madinger,Hall & Madinger 2018
5.6,0.25667,0.07,0.007,0.17,1.6,Wyoming,Hall & Madinger,Hall & Madinger 2018
11,0.15833,0.02,0.015,0.16,0.8,Wyoming,Hall & Madinger,Hall & Madinger 2018
12,0.15833,0.02,0.015,0.16,0.8,Wyoming,Hall & Madinger,Hall & Madinger 2018
47,0.05167,0.021,0.05,0.45,0.9,Wyoming,Hall & Madinger,Hall & Madinger 2018
64,0.06667,0.097,0.113,0.44,3.3,Wyoming,Hall & Madinger,Hall & Madinger 2018
97,0.105,0.022,0.12,0.3,1.3,Wyoming,Hall & Madinger,Hall & Madinger 2018
208,0.08667,0.022,0.12,0.2,0.7,Wyoming,Hall & Madinger,Hall & Madinger 2018
1714.61385,0.643,2.366,0.11614,0.427,8.62,CH,Ulseth et. al 2019,Ulseth et. al 2019
1662.88793,0.794,3.07,0.11614,0.44,8.78,CH,Ulseth et. al 2019,Ulseth et. al 2019
2969.51941,0.766,2.759,0.11614,0.398,9.04,CH,Ulseth et. al 2019,Ulseth et. al 2019
656.5785,0.878,2.007,0.11655,0.259,8.839,CH,Ulseth et. al 2019,Ulseth et. al 2019
4117.80089,1.011,3.518,0.10611,0.373,9.339,CH,Ulseth et. al 2019,Ulseth et. al 2019
233.84442,0.855,1.536,0.11655,0.238,7.537,CH,Ulseth et. al 2019,Ulseth et. al 2019
202.63897,0.388,0.315,0.10198,0.188,4.321,CH,Ulseth et. al 2019,Ulseth et. al 2019
61.33156,0.182,0.056,0.07744,0.204,1.51,CH,Ulseth et. al 2019,Ulseth et. al 2019
21.15532,0.138,0.027,0.07744,0.13,1.5,CH,Ulseth et. al 2019,Ulseth et. al 2019
25.77231,0.114,0.021,0.07744,0.136,1.375,CH,Ulseth et. al 2019,Ulseth et. al 2019
1583.01559,0.897,2.251,0.05901,0.401,6.255,CH,Ulseth et. al 2019,Ulseth et. al 2019
