"","DateTime","DO_mg_L","Temp_C","Station"
"1",2019-07-09 12:49:49,6.48,12.0222222222222,"1"
"2",2019-07-09 13:04:49,6.8,8.92222222222222,"1"
"3",2019-07-09 13:19:49,7.02,7.1,"1"
"4",2019-07-09 13:34:49,6.94,6.92222222222222,"1"
"5",2019-07-09 13:49:49,6.98,6.9,"1"
"6",2019-07-09 14:04:49,6.99,6.92222222222222,"1"
"7",2019-07-09 14:19:49,6.99,6.9,"1"
"8",2019-07-09 14:34:49,6.99,6.92222222222222,"1"
"9",2019-07-09 14:49:49,6.99,6.87777777777778,"1"
"10",2019-07-09 15:04:49,6.98,6.8,"1"
"11",2019-07-09 15:19:49,6.98,6.7,"1"
"12",2019-07-09 15:34:49,7,6.66111111111111,"1"
"13",2019-07-09 15:49:49,7,6.66111111111111,"1"
"14",2019-07-09 16:04:49,7,6.63888888888889,"1"
"15",2019-07-09 16:19:49,6.99,6.47777777777778,"1"
"16",2019-07-09 16:34:49,6.98,6.36111111111111,"1"
"17",2019-07-09 16:49:49,6.96,6.23888888888889,"1"
"18",2019-07-09 17:04:49,6.96,6.2,"1"
"19",2019-07-09 17:19:49,6.94,6.2,"1"
"20",2019-07-09 17:34:49,6.87,6.13888888888889,"1"
"21",2019-07-09 17:49:49,6.8,6.02222222222222,"1"
"22",2019-07-09 18:04:49,6.73,5.92222222222222,"1"
"23",2019-07-09 18:19:49,6.64,5.82222222222222,"1"
"24",2019-07-09 18:34:49,6.56,5.7,"1"
"25",2019-07-09 18:49:49,6.49,5.6,"1"
"26",2019-07-09 19:04:49,6.41,5.5,"1"
"27",2019-07-09 19:19:49,6.33,5.42222222222222,"1"
"28",2019-07-09 19:34:49,6.26,5.33888888888889,"1"
"29",2019-07-09 19:49:49,6.21,5.26111111111111,"1"
"30",2019-07-09 20:04:49,6.15,5.2,"1"
"31",2019-07-09 20:19:49,6.1,5.12222222222222,"1"
"32",2019-07-09 20:34:49,6.06,5.06111111111111,"1"
"33",2019-07-09 20:49:49,6.01,4.97777777777778,"1"
"34",2019-07-09 21:04:49,5.97,4.92222222222222,"1"
"35",2019-07-09 21:19:49,5.91,4.86111111111111,"1"
"36",2019-07-09 21:34:49,5.87,4.8,"1"
"37",2019-07-09 21:49:49,5.83,4.73888888888889,"1"
"38",2019-07-09 22:04:49,5.8,4.7,"1"
"39",2019-07-09 22:19:49,5.76,4.66111111111111,"1"
"40",2019-07-09 22:34:49,5.72,4.6,"1"
"41",2019-07-09 22:49:49,5.69,4.53888888888889,"1"
"42",2019-07-09 23:04:49,5.65,4.47777777777778,"1"
"43",2019-07-09 23:19:49,5.62,4.43888888888889,"1"
"44",2019-07-09 23:34:49,5.6,4.37777777777778,"1"
"45",2019-07-09 23:49:49,5.58,4.33888888888889,"1"
"46",2019-07-10 00:04:49,5.54,4.32222222222222,"1"
"47",2019-07-10 00:19:49,5.51,4.27777777777778,"1"
"48",2019-07-10 00:34:49,5.49,4.23888888888889,"1"
"49",2019-07-10 00:49:49,5.47,4.16111111111111,"1"
"50",2019-07-10 01:04:49,5.46,4.13888888888889,"1"
"51",2019-07-10 01:19:49,5.44,4.12222222222222,"1"
"52",2019-07-10 01:34:49,5.42,4.1,"1"
"53",2019-07-10 01:49:49,5.4,4.07777777777778,"1"
"54",2019-07-10 02:04:49,5.39,4.06111111111111,"1"
"55",2019-07-10 02:19:49,5.37,4.03888888888889,"1"
"56",2019-07-10 02:34:49,5.35,4.02222222222222,"1"
"57",2019-07-10 02:49:49,5.33,4,"1"
"58",2019-07-10 03:04:49,5.32,3.97777777777778,"1"
"59",2019-07-10 03:19:49,5.31,3.93888888888889,"1"
"60",2019-07-10 03:34:49,5.31,3.9,"1"
"61",2019-07-10 03:49:49,5.29,3.87777777777778,"1"
"62",2019-07-10 04:04:49,5.29,3.83888888888889,"1"
"63",2019-07-10 04:19:49,5.29,3.82222222222222,"1"
"64",2019-07-10 04:34:49,5.29,3.76111111111111,"1"
"65",2019-07-10 04:49:49,5.31,3.72222222222222,"1"
"66",2019-07-10 05:04:49,5.3,3.67777777777778,"1"
"67",2019-07-10 05:19:49,5.31,3.62222222222222,"1"
"68",2019-07-10 05:34:49,5.31,3.56111111111111,"1"
"69",2019-07-10 05:49:49,5.31,3.5,"1"
"70",2019-07-10 06:04:49,5.31,3.42222222222222,"1"
"71",2019-07-10 06:19:49,5.33,3.36111111111111,"1"
"72",2019-07-10 06:34:49,5.37,3.27777777777778,"1"
"73",2019-07-10 06:49:49,5.45,3.2,"1"
"74",2019-07-10 07:04:49,5.56,3.13888888888889,"1"
"75",2019-07-10 07:19:49,5.68,3.07777777777778,"1"
"76",2019-07-10 07:34:49,5.78,3.06111111111111,"1"
"77",2019-07-10 07:49:49,5.9,3.1,"1"
"78",2019-07-10 08:04:49,6.04,3.27777777777778,"1"
"79",2019-07-10 08:19:49,6.15,3.53888888888889,"1"
"80",2019-07-10 08:34:49,6.24,3.83888888888889,"1"
"81",2019-07-10 08:49:49,6.32,4.16111111111111,"1"
"82",2019-07-10 09:04:49,6.39,4.57777777777778,"1"
"83",2019-07-10 09:19:49,6.45,4.86111111111111,"1"
"84",2019-07-10 09:34:49,6.49,5.22222222222222,"1"
"85",2019-07-10 09:49:49,6.52,5.43888888888889,"1"
"86",2019-07-10 10:04:49,6.58,5.56111111111111,"1"
"87",2019-07-10 10:19:49,6.63,5.82222222222222,"1"
"88",2019-07-10 10:34:49,6.65,6.12222222222222,"1"
"89",2019-07-10 10:49:49,6.69,6.22222222222222,"1"
"90",2019-07-10 11:04:49,6.75,6.72222222222222,"1"
"91",2019-07-10 11:11:17,7.08,7.67777777777778,"1"
"92",2019-07-10 11:26:17,6.72,7.9,"1"
"93",2019-07-10 11:41:17,6.74,8.52222222222222,"1"
"94",2019-07-10 11:56:17,6.69,9.1,"1"
